Allied_Nations,Diplomatic_Meetings_Set,Percent_Of_Forces_Mobilized,Hostile_Nations,Active_Threats,Inactive_Threats,Citizen_Fear_Index,Closest_Threat_Distance(km),Aircraft_Carriers_Responding,Troops_Mobilized(thousands),Id,DEFCON_Level
8,0,0.39,2,12.0,143.0,0.582232011747428,344.5,1,809600.0,9604,2
8,1,0.32,2,24.0,81.0,0.475770925110132,356.16,1,880000.0,7456,2
8,0,0.21,2,21.0,65.0,0.45374449339206396,358.28,0,809600.0,2498,2
7,0,0.64,2,14.0,32.0,0.42657856093978097,348.74,1,1003200.0,12181,3
8,0,0.44,4,12.0,27.0,0.472099853157122,350.86,1,1126400.0,8893,5
7,1,0.0,2,34.0,55.0,0.406020558002936,359.34,1,827200.0,6790,2
8,1,0.22,2,18.0,94.0,0.5088105726872211,343.44,1,827200.0,4768,3
10,0,0.46,2,10.0,24.0,0.567547723935388,346.62,0,959200.0,12180,4
7,1,0.12,11,6.0,31.0,0.5088105726872211,368.88,1,880000.0,637,2
10,0,0.42,2,6.0,14.0,0.466960352422899,352.98,1,1082400.0,5478,3
8,1,0.22,2,23.0,119.0,0.361967694566808,348.74,0,924000.0,8422,2
8,0,0.42,2,11.0,37.0,0.285609397944199,332.84,1,1091200.0,5715,3
11,0,0.64,2,6.0,22.0,0.582232011747428,343.44,1,932800.0,6746,4
7,1,0.14,2,15.0,20.0,0.488252569750367,369.94,1,809600.0,5828,2
8,1,0.49,3,18.0,119.0,0.611600587371507,373.12,1,765600.0,6305,2
12,0,0.49,3,19.0,65.0,0.73641703377386,345.56,1,950400.0,11893,2
6,1,0.0,2,17.0,59.0,0.392070484581495,384.78,1,1012000.0,11345,3
9,0,0.57,2,17.0,80.0,0.464757709251094,311.64,2,959200.0,6076,4
8,0,0.11,3,12.0,49.0,0.516152716593241,347.68,1,836000.0,11418,3
7,0,0.24,2,4.0,15.0,0.423641703377378,349.8,0,818400.0,8379,2
9,0,0.31,2,4.0,22.0,0.582232011747428,347.68,1,950400.0,2865,3
8,1,0.0,2,8.0,18.0,0.44933920704844804,352.98,1,880000.0,10227,3
7,1,0.03,3,17.0,88.0,0.45961820851687896,346.62,1,897600.0,212,3
6,1,0.01,2,6.0,9.0,0.28854625550660995,364.64,1,1029600.0,8244,2
7,1,0.26,7,30.0,121.0,0.6497797356828199,349.8,1,827200.0,7440,2
7,1,0.08,2,28.0,63.0,0.458883994126288,354.04,1,836000.0,3905,2
6,1,0.12,11,31.0,83.0,0.46916299559471103,356.16,0,906400.0,3628,2
7,0,0.3,2,36.0,67.0,0.37958883994125897,354.04,1,968000.0,2789,5
8,0,0.34,2,16.0,38.0,0.25624082232011197,341.32,1,1073600.0,9001,3
7,1,0.08,4,14.0,31.0,0.300293685756239,349.8,1,994400.0,11333,2
9,0,0.23,3,28.0,90.0,0.6042584434654871,328.6,1,809600.0,5688,2
8,1,0.05,2,12.0,22.0,0.45741556534507394,346.62,1,836000.0,11609,2
9,0,0.48,9,3.0,10.0,0.656387665198241,348.74,1,1012000.0,10293,3
8,1,0.0,2,8.0,15.0,0.464757709251094,351.92,1,915200.0,10615,3
5,0,0.11,2,6.0,19.0,0.244493392070475,389.02,1,1091200.0,2100,2
8,0,0.59,2,26.0,35.0,0.42657856093978097,324.36,1,1003200.0,856,3
7,1,0.25,5,16.0,70.0,0.544052863436115,360.4,1,853600.0,10856,2
7,1,0.1,2,39.0,53.0,0.301762114537436,330.72,0,880000.0,10453,2
8,1,0.12,3,33.0,54.0,0.398678414096916,347.68,0,880000.0,7640,2
7,1,0.08,2,14.0,21.0,0.435389133627015,361.46,1,906400.0,12300,3
10,1,0.22,3,20.0,47.0,0.6299559471365649,333.9,1,827200.0,1399,2
7,1,0.02,2,5.0,20.0,0.43979441997063207,355.1,0,880000.0,7493,3
5,0,0.25,2,29.0,55.0,0.290014684287816,371.0,1,924000.0,4540,3
8,1,0.24,2,15.0,63.0,0.464757709251094,349.8,1,836000.0,5438,2
8,1,0.15,4,52.0,71.0,0.398678414096916,345.56,1,836000.0,10157,2
8,1,0.49,6,41.0,115.0,0.522026431718055,342.38,1,924000.0,4115,3
8,0,0.24,2,10.0,18.0,0.35829662261379897,347.68,1,880000.0,10992,3
10,1,0.23,3,20.0,23.0,0.7584434654919201,333.9,1,844800.0,11604,2
7,1,0.03,2,17.0,27.0,0.517621145374455,364.64,1,827200.0,3116,3
7,1,0.07,2,16.0,51.0,0.488252569750367,369.94,1,818400.0,198,2
7,1,0.05,5,5.0,12.0,0.588105726872242,358.28,1,844800.0,2528,3
8,1,0.12,2,7.0,16.0,0.45741556534507394,339.2,0,959200.0,9058,1
8,0,0.31,2,8.0,22.0,0.313509544787073,361.46,1,985600.0,4080,3
6,1,0.0,2,6.0,16.0,0.360499265785603,368.88,1,932800.0,8635,2
7,0,0.18,2,13.0,50.0,0.4133627019089551,359.34,1,796400.0,6094,2
7,1,0.03,6,5.0,31.0,0.5088105726872211,368.88,1,968000.0,693,1
12,0,0.54,3,35.0,119.0,0.74375917767988,349.8,1,941600.0,1120,2
9,0,0.45,2,20.0,46.0,0.611600587371507,358.28,1,800800.0,12026,2
10,0,0.49,2,5.0,12.0,0.685022026431714,345.56,1,906400.0,4813,2
8,1,0.29,2,31.0,89.0,0.406020558002936,349.8,1,871200.0,4017,2
9,0,0.48,2,22.0,50.0,0.48678414096916206,352.98,1,888800.0,8863,3
9,0,0.4,2,12.0,25.0,0.37665198237884795,354.04,1,1047200.0,5858,4
9,0,0.36,3,3.0,13.0,0.46402349486049504,355.1,1,1012000.0,4236,4
8,0,0.29,2,20.0,38.0,0.4001468428781211,344.5,1,897600.0,2319,3
10,0,0.31,2,5.0,16.0,0.40969162995594605,338.14,1,985600.0,7590,3
10,0,0.4,3,6.0,11.0,0.5102790014684271,342.38,1,924000.0,3964,5
9,1,0.11,2,20.0,56.0,0.552863436123348,340.26,1,871200.0,3172,2
7,1,0.23,4,7.0,49.0,0.685022026431714,360.4,1,792000.0,1719,2
8,1,0.04,2,10.0,22.0,0.428046989720995,341.32,1,906400.0,2969,3
7,0,0.31,9,37.5,160.0,0.22687224669603198,330.72,1,1020800.0,5585,3
7,1,0.0,2,16.0,27.0,0.567547723935388,368.88,1,818400.0,2077,2
9,0,0.53,2,9.0,22.0,0.450073421439055,347.68,1,1038400.0,5081,3
8,0,0.68,2,27.0,52.0,0.33259911894272903,344.5,1,1091200.0,5664,4
8,0,0.42,2,12.0,19.0,0.307635829662258,329.66,1,976800.0,1978,4
7,1,0.0,2,6.0,14.0,0.22834067547723003,359.34,0,1003200.0,10469,3
6,1,0.01,2,7.0,25.0,0.182819383259905,365.7,1,1170400.0,8718,3
7,1,0.08,2,42.0,64.0,0.36123348017620205,348.74,1,959200.0,12337,3
12,1,0.5,3,19.0,112.0,0.7466960352422909,345.56,1,968000.0,6537,2
6,1,0.08,2,32.0,53.0,0.353891336270182,351.92,1,959200.0,7843,4
10,0,0.53,2,6.0,16.0,0.496328928046978,342.38,1,1012000.0,7376,2
13,0,0.49,3,5.0,21.0,0.626284875183555,327.54,1,1003200.0,3415,3
6,1,0.14,2,21.0,48.0,0.22540381791481898,375.24,1,1047200.0,6086,3
7,1,0.0,2,21.0,58.0,0.5499265785609371,391.14,1,941600.0,9520,3
9,1,0.1,2,25.0,66.0,0.501468428781202,339.2,1,862400.0,5821,2
7,1,0.06,2,5.0,13.0,0.442731277533035,358.28,1,994400.0,8547,3
7,1,0.02,2,15.0,39.0,0.378120411160062,365.7,1,1029600.0,12140,4
7,0,0.33,2,16.0,49.0,0.485315712187948,363.58,1,880000.0,1769,3
9,1,0.25,2,5.0,35.0,0.45741556534507394,346.62,1,1126400.0,4297,1
9,0,0.57,3,13.0,23.0,0.552863436123348,352.98,1,976800.0,2726,3
12,0,0.53,2,17.0,60.0,0.582232011747428,321.18,1,792000.0,11455,3
8,0,0.2,2,13.0,44.0,0.494126284875182,340.26,1,853600.0,4535,4
10,0,0.45,6,6.0,10.0,0.582232011747428,341.32,1,959200.0,2265,2
10,0,0.64,4,6.0,20.0,0.5088105726872211,334.96,1,994400.0,3153,4
10,1,0.22,3,18.0,23.0,0.699706314243761,337.08,1,827200.0,6465,1
10,0,0.45,2,11.0,67.0,0.596916299559467,340.26,0,827200.0,5251,2
6,0,0.16,2,12.0,25.0,0.37224669603523103,375.24,1,1056000.0,8394,2
10,0,0.33,3,10.0,28.0,0.535242290748898,333.9,1,924000.0,11072,2
8,0,0.42,2,9.0,23.0,0.47063142437590794,361.46,1,1047200.0,2363,3
9,0,0.34,2,13.0,36.0,0.542584434654917,350.86,1,818400.0,8923,3
12,1,0.49,2,8.0,60.0,0.608663729809104,327.54,1,800800.0,10172,2
11,0,0.5,2,6.0,18.0,0.626284875183555,322.24,1,827200.0,10707,1
8,1,0.35,2,21.0,64.0,0.494126284875182,374.18,1,836000.0,5299,2
8,1,0.22,2,25.0,119.0,0.450073421439055,342.38,0,871200.0,10741,2
7,1,0.09,2,24.0,57.0,0.42070484581497497,381.6,1,836000.0,12299,3
7,1,0.02,2,4.0,11.0,0.582232011747428,364.64,0,809600.0,11430,2
9,0,0.39,2,20.0,27.0,0.37371512481644503,339.2,1,1064800.0,6534,4
7,1,0.02,2,6.0,23.0,0.485315712187948,366.76,1,932800.0,1671,3
8,0,0.34,5,8.0,32.0,0.523494860499261,365.7,1,932800.0,6218,4
7,1,0.17,2,6.0,31.0,0.38693098384727903,346.62,1,1038400.0,3507,1
7,1,0.0,3,7.0,18.0,0.633627019089575,382.66,1,968000.0,6375,2
12,0,0.51,2,6.0,21.0,0.575624082232015,329.66,1,880000.0,10950,2
7,1,0.0,2,40.0,64.0,0.5748898678414079,361.46,1,880000.0,525,2
6,0,0.78,5,23.0,45.0,0.37665198237884795,359.34,1,1064800.0,1768,2
7,1,0.3,2,23.0,54.0,0.5418502202643111,376.3,1,818400.0,8959,2
8,1,0.14,3,6.0,31.0,0.42070484581497497,343.44,1,809600.0,6191,2
8,1,0.17,2,21.0,112.0,0.533039647577085,331.78,0,836000.0,4676,3
7,1,0.02,2,29.0,42.0,0.398678414096916,359.34,1,973866.6666666691,9137,3
9,0,0.5,2,17.0,29.0,0.284140969162985,337.08,1,985600.0,5721,4
8,0,0.52,2,9.0,23.0,0.538179148311301,358.28,1,906400.0,11023,3
7,1,0.18,2,15.0,77.0,0.47944199706314206,354.04,1,827200.0,6577,2
12,0,0.51,2,6.0,10.0,0.633627019089575,324.36,1,862400.0,572,3
6,1,0.0,2,6.0,11.0,0.399412628487515,377.36,1,959200.0,6304,2
7,1,0.09,2,10.0,19.0,0.47944199706314206,364.64,0,959200.0,1289,3
11,0,0.46,3,10.0,41.0,0.535242290748898,349.8,1,1038400.0,10267,3
8,0,0.32,2,7.0,35.0,0.285609397944199,352.98,1,1003200.0,6645,3
7,1,0.2,2,12.0,28.0,0.464757709251094,361.46,1,888800.0,6060,2
9,1,0.1,2,8.0,17.0,0.48678414096916206,350.86,1,840400.0,10427,3
7,1,0.3,6,19.0,106.0,0.522026431718055,334.96,1,827200.0,9342,2
8,1,0.26,2,11.0,65.0,0.423641703377378,342.38,0,836000.0,8111,1
10,1,0.42,2,25.0,99.0,0.5469897209985339,359.34,1,809600.0,3844,2
11,0,0.48,2,6.0,18.0,0.5895741556534481,350.86,1,827200.0,2313,2
9,1,0.18,3,9.0,62.0,0.6409691629955949,337.08,1,836000.0,6116,2
8,1,0.22,2,17.0,94.0,0.398678414096916,346.62,1,862400.0,5882,3
7,1,0.05,2,18.0,41.0,0.517621145374455,366.76,1,853600.0,3182,2
8,0,0.4,2,6.0,17.0,0.34287812041115195,349.8,1,1020800.0,9269,4
7,1,0.01,2,8.0,15.0,0.40748898678414097,379.48,1,950400.0,8578,2
7,0,0.14,2,13.0,37.0,0.435389133627015,359.34,0,888800.0,3771,3
6,1,0.05,2,6.0,14.0,0.30323054331864197,381.6,1,1003200.0,5220,2
11,0,0.6,2,5.0,18.0,0.6409691629955949,322.24,1,818400.0,8451,3
8,1,0.18,2,6.0,48.0,0.36930983847282794,357.22,1,950400.0,2339,2
8,1,0.17,2,13.0,47.0,0.523494860499261,348.74,1,827200.0,5237,2
8,0,0.33,2,16.0,38.0,0.442731277533035,357.22,1,968000.0,6884,3
9,1,0.09,2,10.0,41.0,0.37665198237884795,342.38,0,924000.0,10264,2
12,0,0.69,3,10.0,23.0,0.74375917767988,338.14,1,853600.0,6193,4
10,0,0.47,3,11.0,25.0,0.535242290748898,355.1,1,1029600.0,9563,4
16,0,0.65,3,6.0,29.0,0.685022026431714,325.42,1,950400.0,335,3
12,0,0.55,2,5.0,15.0,0.501468428781202,337.08,1,871200.0,1012,3
9,0,0.21,2,57.0,68.0,0.5088105726872211,367.82,1,827200.0,7033,3
6,1,0.01,2,6.0,12.0,0.250367107195289,377.36,1,976800.0,4647,3
7,1,0.17,2,12.0,39.0,0.5602055800293679,364.64,1,827200.0,7037,2
5,0,0.0,1,25.0,60.0,0.110132158590306,378.42,1,1029600.0,9677,3
8,1,0.25,3,14.0,115.0,0.611600587371507,357.22,1,827200.0,5974,2
6,1,0.01,4,11.0,18.0,0.494126284875182,377.36,1,836000.0,3200,2
7,0,0.24,2,30.0,54.0,0.42657856093978097,357.22,1,915200.0,10401,3
7,0,0.28,2,26.0,61.0,0.5088105726872211,364.64,1,853600.0,9562,3
9,0,0.3,3,18.0,110.0,0.6703377386196739,348.74,1,924000.0,8403,3
7,1,0.19,2,12.0,47.0,0.444199706314248,362.52,1,959200.0,480,2
7,1,0.07,2,11.0,19.0,0.43979441997063207,356.16,1,924000.0,1359,2
7,1,0.0,2,6.0,12.0,0.374449339207052,362.52,1,1012000.0,11699,1
7,1,0.02,8,23.0,43.0,0.418502202643171,355.1,1,950400.0,685,3
7,1,0.23,2,16.0,74.0,0.516152716593241,347.68,1,792000.0,1068,2
11,0,0.5,2,10.0,41.0,0.729074889867841,323.3,1,792000.0,2939,2
10,1,0.31,2,30.0,145.0,0.569016152716594,340.26,1,1038400.0,7120,4
11,0,0.53,3,20.0,54.0,0.7584434654919201,338.14,1,827200.0,5922,2
8,1,0.49,2,23.0,110.0,0.5088105726872211,346.62,1,809600.0,11482,1
8,1,0.0,3,25.0,44.0,0.46402349486049504,356.16,1,924000.0,5904,3
9,1,0.14,3,11.0,23.0,0.572687224669604,337.08,1,924000.0,10777,3
8,0,0.51,2,12.0,24.0,0.538179148311301,322.24,1,809600.0,41,2
7,1,0.08,2,10.0,89.0,0.430249632892799,355.1,1,888800.0,7443,2
13,0,0.52,3,5.0,15.0,0.685022026431714,328.6,1,950400.0,3465,2
11,0,0.48,3,20.0,55.0,0.580763582966222,334.96,1,880000.0,6439,4
8,0,0.26,2,10.0,37.0,0.285609397944199,329.66,1,1091200.0,8972,3
10,0,0.43,2,11.0,37.0,0.529368575624075,334.96,1,906400.0,6894,3
7,0,0.32,2,9.0,29.0,0.316446402349476,343.44,1,1056000.0,7823,3
10,0,0.42,2,5.0,16.0,0.563142437591771,343.44,1,959200.0,10411,3
8,0,0.49,3,11.0,30.0,0.545521292217329,354.04,1,1100000.0,5581,4
10,0,0.45,2,6.0,10.0,0.4001468428781211,341.32,1,1038400.0,1061,4
9,0,0.3,3,14.0,31.0,0.38399412628486795,341.32,1,1108800.0,2538,4
7,0,0.27,9,37.5,82.0,0.571953010279005,349.8,0,871200.0,1500,3
9,1,0.28,3,18.0,34.0,0.648311306901614,354.04,1,836000.0,5731,3
8,0,0.24,2,23.0,51.0,0.516152716593241,357.22,1,941600.0,10448,3
6,1,0.02,2,9.0,22.0,0.398678414096916,364.64,1,994400.0,141,3
8,0,0.34,3,27.0,52.0,0.446402349486045,351.92,1,915200.0,10249,2
9,0,0.36,2,53.0,67.0,0.298825256975025,367.82,1,1056000.0,607,2
8,1,0.15,2,11.0,54.0,0.499999999999988,349.8,1,809600.0,7694,2
12,0,0.47,2,13.0,27.0,0.42070484581497497,325.42,1,1047200.0,6132,4
8,1,0.2,2,12.0,31.0,0.33259911894272903,328.6,0,862400.0,1291,2
8,0,0.15,2,6.0,14.0,0.428046989720995,348.74,1,853600.0,105,2
7,1,0.03,2,7.0,13.0,0.4221732745961811,354.04,1,809600.0,3537,3
8,1,0.16,2,11.0,39.0,0.494126284875182,333.9,1,836000.0,1063,2
10,0,0.42,2,22.0,46.0,0.444933920704839,333.9,1,932800.0,1525,4
7,1,0.06,2,8.0,16.0,0.346549192364162,372.06,0,1003200.0,1664,3
10,1,0.5,2,19.0,112.0,0.516152716593241,318.0,1,792000.0,11807,2
6,1,0.15,2,6.0,19.0,0.182819383259905,352.98,1,1126400.0,1752,2
8,1,0.04,2,12.0,29.0,0.417033773861965,372.06,1,915200.0,8110,3
8,0,0.4,2,4.0,8.0,0.200440528634356,339.2,0,1135200.0,9692,4
7,1,0.0,2,3.0,13.0,0.435389133627015,354.04,1,915200.0,961,1
7,1,0.0,2,50.0,59.0,0.552863436123348,379.48,1,941600.0,5098,3
9,0,0.5,2,15.0,38.0,0.452276064610859,356.16,1,1047200.0,1173,4
8,1,0.1,3,18.0,101.0,0.552863436123348,343.44,1,897600.0,6047,3
8,1,0.31,2,11.0,29.0,0.582232011747428,363.58,1,871200.0,8589,2
9,1,0.14,3,17.0,44.0,0.6409691629955949,352.98,1,809600.0,3906,3
9,0,0.4,4,3.0,10.0,0.594713656387671,346.62,1,1012000.0,2807,3
11,0,0.45,2,16.0,37.0,0.582232011747428,347.68,1,924000.0,10007,2
7,1,0.09,2,24.0,57.0,0.43392070484580897,349.8,1,809600.0,9904,2
7,1,0.02,2,15.0,23.0,0.48678414096916206,382.66,1,862400.0,6888,2
7,0,0.43,6,22.0,148.0,0.530837004405281,359.34,1,924000.0,3804,2
10,0,0.47,2,6.0,13.0,0.516152716593241,341.32,1,906400.0,2434,2
6,1,0.03,2,14.0,31.0,0.375917767988249,362.52,1,844800.0,866,3
6,1,0.0,2,6.0,12.0,0.398678414096916,364.64,1,836000.0,3508,3
9,1,0.19,3,9.0,74.0,0.646842878120401,354.04,1,853600.0,8967,3
7,1,0.04,2,20.0,58.0,0.42070484581497497,355.1,1,827200.0,9066,2
8,0,0.41,2,34.0,70.0,0.156387665198229,349.8,0,1029600.0,1554,3
9,1,0.14,2,25.0,84.0,0.567547723935388,347.68,1,880000.0,377,2
8,0,0.48,4,3.0,11.0,0.536710719530095,358.28,1,871200.0,4183,4
11,0,0.56,2,30.0,70.0,0.533773861967692,331.78,1,844800.0,5722,2
9,0,0.28,2,14.0,28.0,0.39574155653450505,339.2,1,976800.0,4346,2
8,0,0.29,2,29.0,45.0,0.485315712187948,350.86,1,844800.0,1000,2
7,0,0.3,2,6.0,12.0,0.429515418502201,349.8,1,871200.0,7831,3
7,1,0.26,2,23.0,48.0,0.582232011747428,365.7,1,844800.0,713,2
6,1,0.1,3,4.0,11.0,0.272393538913349,364.64,1,1051600.0,5337,3
8,0,0.42,2,8.0,22.0,0.33113069016151503,346.62,1,994400.0,6605,2
8,0,0.31,2,4.0,11.0,0.237885462555062,341.32,1,1108800.0,4799,4
7,1,0.33,2,16.0,101.0,0.476505139500731,352.98,1,880000.0,1761,1
8,1,0.09,2,25.0,57.0,0.49853157121879793,354.04,1,792000.0,3521,2
8,0,0.44,4,25.0,104.0,0.571953010279005,352.98,1,924000.0,3705,2
7,1,0.03,2,17.0,35.0,0.40895741556533893,355.1,1,827200.0,7908,3
6,0,0.23,2,16.0,47.0,0.406020558002936,364.64,1,888800.0,5174,3
8,1,0.2,2,34.0,89.0,0.458883994126288,343.44,1,871200.0,1797,2
9,0,0.57,5,10.0,30.0,0.338472834067535,332.84,1,1056000.0,4782,3
6,0,0.19,2,15.0,24.0,0.42070484581497497,387.96,1,875600.0,5825,3
11,0,0.48,2,10.0,24.0,0.6189427312775351,322.24,1,818400.0,11192,3
7,1,0.02,2,8.0,13.0,0.360499265785603,365.7,1,888800.0,11634,3
8,0,0.44,2,6.0,9.0,0.439060205580025,351.92,1,968000.0,1230,4
8,0,0.42,2,9.0,21.0,0.33113069016151503,345.56,1,1064800.0,49,3
7,1,0.15,2,19.0,32.0,0.456681350954476,373.12,1,950400.0,5689,3
8,1,0.16,2,3.0,18.0,0.450073421439055,349.8,0,827200.0,7009,2
9,1,0.24,3,15.0,93.0,0.611600587371507,350.86,1,836000.0,2497,3
11,0,0.48,3,20.0,49.0,0.582232011747428,336.02,1,827200.0,10516,2
8,1,0.0,2,9.0,23.0,0.567547723935388,360.4,1,800800.0,2440,2
11,0,0.64,2,6.0,15.0,0.551395007342135,349.8,1,915200.0,12230,2
10,1,0.66,2,7.0,60.0,0.538179148311301,311.64,1,809600.0,9548,2
8,0,0.18,2,15.0,67.0,0.45374449339206396,340.26,0,836000.0,766,2
5,1,0.0,2,16.0,42.0,0.14904552129220902,390.08,1,1073600.0,9254,3
6,0,0.14,1,21.0,48.0,0.33186490455212203,376.3,1,1012000.0,8659,3
9,0,0.57,2,17.0,60.0,0.47356828193832795,328.6,1,827200.0,2740,2
12,1,0.49,3,54.0,67.0,0.7511013215859,342.38,1,836000.0,763,1
10,0,0.63,2,7.0,18.0,0.563142437591771,337.08,1,950400.0,1095,3
6,0,0.04,2,9.0,18.0,0.359030837004405,373.12,1,897600.0,11306,3
10,0,0.45,6,6.0,12.0,0.5102790014684271,333.9,1,1161600.0,8013,4
13,0,0.54,4,5.0,16.0,0.8612334801762142,325.42,1,976800.0,10667,2
8,0,0.3,2,8.0,34.0,0.442731277533035,348.74,1,880000.0,5038,3
7,1,0.09,2,4.0,20.0,0.461820851688691,355.1,1,888800.0,6220,2
7,1,0.13,2,29.0,96.0,0.298825256975025,334.96,1,880000.0,9355,3
9,0,0.33,2,52.0,135.0,0.567547723935388,367.82,1,827200.0,12211,2
7,1,0.03,8,30.0,109.0,0.5895741556534481,341.32,1,827200.0,10965,2
6,1,0.12,2,13.0,80.0,0.39133627019088796,384.78,1,915200.0,3610,2
6,1,0.0,4,21.0,46.0,0.414831130690161,380.54,0,976800.0,10430,2
7,0,0.25,2,5.0,39.0,0.47944199706314206,349.8,0,862400.0,1494,2
10,0,0.55,2,22.0,65.0,0.5301027900146821,345.56,1,800800.0,1943,2
8,1,0.36,6,7.0,23.0,0.38986784140968206,345.56,1,1056000.0,10305,3
9,0,0.49,3,18.0,95.0,0.596916299559467,351.92,1,809600.0,10450,2
8,1,0.06,4,27.0,108.0,0.398678414096916,351.92,1,924000.0,1129,2
9,0,0.32,6,10.0,36.0,0.40748898678414097,336.02,1,1012000.0,1906,2
9,1,0.24,3,15.0,86.0,0.71145374449339,333.9,1,809600.0,7519,2
6,0,0.21,2,20.0,47.0,0.500734214390595,359.34,1,853600.0,10101,2
7,1,0.07,2,16.0,33.0,0.494126284875182,382.66,1,897600.0,1883,3
8,1,0.32,2,7.0,54.0,0.523494860499261,350.86,1,941600.0,12022,2
7,0,0.49,6,18.0,45.0,0.567547723935388,360.4,1,809600.0,11188,3
8,1,0.04,2,8.0,15.0,0.377386196769455,351.92,1,888800.0,10712,4
9,1,0.2,4,12.0,93.0,0.6703377386196739,355.1,1,853600.0,3336,2
9,0,0.34,2,13.0,23.0,0.4001468428781211,351.92,1,976800.0,2340,4
7,1,0.2,2,12.0,32.0,0.558737151248155,372.06,1,871200.0,12293,2
7,0,0.31,4,12.0,46.0,0.571953010279005,348.74,1,924000.0,9425,2
6,1,0.01,2,26.0,94.0,0.25697503671071803,367.82,0,1029600.0,9152,2
9,1,0.15,2,12.0,44.0,0.47944199706314206,352.98,1,871200.0,7720,3
9,0,0.31,3,12.0,28.0,0.40748898678414097,352.98,1,1038400.0,9961,4
9,0,0.21,2,57.0,73.0,0.5748898678414079,364.64,1,906400.0,8453,3
9,0,0.45,2,19.0,42.0,0.310572687224662,337.08,1,1073600.0,11646,4
14,0,0.74,3,23.0,71.0,0.831864904552135,309.52,2,1012000.0,6618,3
8,1,0.01,2,17.0,32.0,0.523494860499261,350.86,1,818400.0,2523,3
10,0,0.35,2,10.0,45.0,0.596916299559467,342.38,1,924000.0,2205,3
8,1,0.24,2,8.0,31.0,0.450073421439055,347.68,1,959200.0,7866,1
7,0,0.08,2,34.0,52.0,0.42657856093978097,362.52,1,880000.0,1653,3
12,0,0.63,3,10.0,23.0,0.699706314243761,343.44,1,1073600.0,7431,3
8,0,0.26,2,10.0,28.0,0.424375917767985,359.34,1,897600.0,83,3
